col0,col1,col2,col3
Kensington and Norwood,"Norwood, Payneham and St Peters",Mayor of Kensington and Norwood,Corporation of the City of Kensington and Norwood
Port Gawler,Mallala,District Chairman of Port Gawler,District Council of Port Gawler
Noarlunga,Onkaparinga,Mayor of Noarlunga,Corporation of the City of Noarlunga
Port Broughton,Barunga West,District Chairman of Port Broughton,District Council of Port Broughton
Spalding,Northern Areas,District Chairman of Spalding,District Council of Spalding
Hindmarsh,Woodville,District Chairman of Hindmarsh,District Council of Hindmarsh
Gladstone,District Council of Rocky River,District Chairman of Gladstone,District Council of Gladstone
Orroroo,District Council of Orroroo Carrieton,District Chairman of Orroroo,District Council of Orroroo
Munno Para,Playford,Mayor of Munno Para,Corporation of the City of Munno Para
Elizabeth,Playford,Mayor of Elizabeth,Corporation of the City of Elizabeth
Eudunda,Goyder,District Chairman of Eudunda,District Council of Eudunda
Hutt and Hill Rivers,Snowtown,District Chairman of Hutt and Hill Rivers,District Council of Hutt and Hill Rivers
Yatala North,Salisbury,District Chairman of Yatala North,District Council of Yatala North
Yatala,Walkerville,District Chairman of Yatala,District Council of Yatala
