col0,col1,col2,col3,col4,col5,col6,col7
Spanish National Road Race Championships,road bicycle racing,1897-01-01,June,national road cycling championships,1,Spain,2010 Spanish National Road Race Championships
Slovenia Road Cycling Championship,road bicycle racing,1996-01-01,June,national road cycling championships,1,Slovenia,2010 Slovene National Road Race Championships
Estonian National Road Race Championships,road bicycle racing,1997-01-01,June,national road cycling championships,1,Estonia,2010 Estonian National Road Race Championships
French National Road Race Championships,road bicycle racing,1907-01-01,June,national road cycling championships,1,France,2007 French National Road Race Championships
Italian National Road Race Championships,road bicycle racing,1885-01-01,June,national road cycling championships,1,Italy,2010 Italian National Road Race Championships
German National Road Race Championships,road bicycle racing,1910-01-01,June,cycling race,1,Germany,2014 German National Road Race Championships
Danish National Road Race Championships,road bicycle racing,1987-01-01,June,national road cycling championships,1,Denmark,2016 Danish National Road Race Championships
German National Road Race Championships,road bicycle racing,1910-01-01,June,national road cycling championships,1,Germany,2014 German National Road Race Championships
Spanish National Road Race Championships,road bicycle racing,1897-01-01,June,recurring sporting event,1,Spain,2019 Spanish National Road Race Championships
Belgian National Road Race Championships,road bicycle racing,1894-01-01,June,national road cycling championships,1,Belgium,2010 Belgian National Road Race Championships
Norwegian National Road Race Championships,road bicycle racing,1912-01-01,June,national road cycling championships,1,Norway,2009 Norwegian National Road Race Championships
Danish National Road Race Championships,road bicycle racing,1987-01-01,June,national road cycling championships,1,Denmark,2018 Danish National Road Race Championships
German National Road Race Championships,road bicycle racing,1910-01-01,June,national road cycling championships,1,Germany,2016 German National Road Cycling Championships
