col0,col1,col2,col3,col4,col5
Prachatice,Prachatice District,Prachatice,561,Martin Malý,38.918518
Karlovy Vary,Karlovy Vary Region,Karlovy Vary,447,Andrea Pfeffer Ferklová,59.081798
Hradec Králové,Hradec Králové District,Hradec Králové,235,Alexandr Hrabálek,105.686167
Zlín,Zlín Region,Zlín,230,Jiří Korec,102.826067
Prague,Czech Republic,Prague,235,Zdeněk Hřib,496.21
Kroměříž,Kroměříž District,Kroměříž,201,Jaroslav Němec,50.975225
Liberec,Liberec Region,Liberec,359,Jaroslav Zámečník,106.087154
Znojmo,Znojmo District,Znojmo,290,Jan Grois,65.896743
Brno,Moravia,Brno,237,Markéta Vaňková,230.182739
Třebíč,Třebíč District,Třebíč,392,Pavel Pacal,57.591176
Cheb,Cheb District,Cheb,459,Zdeněk Hrkal,96.353174
Chomutov,Chomutov District,Chomutov,340,Marek Hrabáč,29.254168
České Budějovice,South Bohemian Region,České Budějovice,381,Jiří Svoboda,55.604617
Ostrava,Moravian-Silesian Region,Ostrava,260,Tomáš Macura,214.229602
Mělník,Mělník District,Mělník,215,Ctirad Mikeš,24.961871
