col0,col1,col2,col3,col4,col5
Prospero,Prospero,0.4448,John J. Kavelaars,digital dark age,1999-07-18
Caliban,Caliban,0.082347,John J. Kavelaars,digital dark age,1997-09-06
Ferdinand,Ferdinand,0.3682,David Clifford Jewitt,digital dark age,2001-08-13
Trinculo,Trinculo,0.22,Matthew J. Holman,digital dark age,2001-08-13
Francisco,Francisco,0.1459,Matthew J. Holman,digital dark age,2001-08-13
Setebos,Setebos,0.5914,Matthew J. Holman,digital dark age,1999-07-18
Stephano,Stephano,0.2292,Matthew J. Holman,digital dark age,1999-07-18
Ferdinand,Ferdinand,0.3682,Matthew J. Holman,digital dark age,2001-08-13
Prospero,Prospero,0.4448,Matthew J. Holman,digital dark age,1999-07-18
Ferdinand,Ferdinand,0.3682,Scott S. Sheppard,digital dark age,2001-08-13
Setebos,Setebos,0.5914,Hans Scholl,digital dark age,1999-07-18
Stephano,Stephano,0.2292,Hans Scholl,digital dark age,1999-07-18
Prospero,Prospero,0.4448,Hans Scholl,digital dark age,1999-07-18
Francisco,Francisco,0.1459,Brett J. Gladman,digital dark age,2001-08-13
Setebos,Setebos,0.5914,Brett J. Gladman,digital dark age,1999-07-18
