col0,col1,col2,col3,col4,col5,col6,col7
Soyuz T-8,230,Soyuz T-7,Soyuz-U,rocket launch,spacecraft,Viktor Savinykh,Soviet space program
Soyuz 27,253.8,Soyuz 26,Soyuz-U,docking and berthing of spacecraft,spacecraft,Vladimir Kovalyonok,Soviet space program
Soyuz 12,348,Soyuz 11,Soyuz rocket family,rocket launch,spacecraft,Georgy Grechko,Soviet space program
Soyuz 23,269,Soyuz 22,Soyuz rocket family,rocket launch,spacecraft,Viktor Gorbatko,Soviet space program
Soyuz 22,296,Soyuz 21,Soyuz-U,rocket launch,spacecraft,Gennadi Strekalov,Soviet space program
Apollo 8,112.4,Apollo 7,Saturn V,lection,spacecraft,Neil Armstrong,National Aeronautics and Space Administration
Soyuz T-15,366,Soyuz T-14,Soyuz-U2,docking and berthing of spacecraft,Soyuz-T,Aleksandr Viktorenko,Soviet space program
Soyuz 37,293.1,Soyuz T-2,Soyuz-U,docking and berthing of spacecraft,Soyuz 7K-T,Bui Thanh Liem,Soviet space program
Soyuz 16,291,Soyuz 15,Soyuz-U,rocket launch,Soyuz 7K-TM,Vladimir Dzhanibekov,Soviet space program
Soyuz 37,293.1,Soyuz T-2,Soyuz-U,docking and berthing of spacecraft,human spaceflight,Bui Thanh Liem,Soviet space program
