col0,col1,col2,col3,col4,col5
The global burden of alveolar echinococcosis,Measuring the burden of neglected tropical diseases: the global burden of disease framework,Creative Commons Attribution 2.5 Unported,Paul R. Torgerson,infectious disease,English
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.",Alcohol-related morbidity and mortality.,Creative Commons Attribution,Jürgen Rehm,alcoholism,English
Harms associated with taking nalmefene for substance use and impulse control disorders: A systematic review and meta-analysis of randomised controlled trials,Opioid antagonists under heavy sedation or anaesthesia for opioid withdrawal,Creative Commons Attribution 4.0 International,Arne Astrup,naltrexone,English
The effectiveness of electronic screening and brief intervention for reducing levels of alcohol consumption: a systematic review and meta-analysis,The college drinker's check-up: outcomes of two randomized clinical trials of a computer-delivered intervention.,Creative Commons Attribution 2.0 Generic,Paolo Deluca,telemedicine,English
A systematic review of the safety and efficacy of artemether-lumefantrine against uncomplicated Plasmodium falciparum malaria during pregnancy,The clinical efficacy of artemether/lumefantrine (Coartem),Creative Commons Attribution 2.0 Generic,Kamal Hamed,hydrocarbon,English
Harms associated with taking nalmefene for substance use and impulse control disorders: A systematic review and meta-analysis of randomised controlled trials,Efficacy of as-needed nalmefene in alcohol-dependent patients with at least a high drinking risk level: results from a subgroup analysis of two randomized controlled 6-month studies,Creative Commons Attribution 4.0 International,Arne Astrup,naltrexone,English
Modulation of naturalistic maladaptive memories using behavioural and pharmacological reconsolidation-interfering strategies: a systematic review and meta-analysis of clinical and 'sub-clinical' studies,Postreactivation glucocorticoids impair recall of established fear memory.,Creative Commons Attribution 4.0 International,Sunjeev K. Kamboj,substance-related disorder,English
Safer tattooing interventions in prisons: a systematic review and call to action,Effectiveness-implementation hybrid designs: combining elements of clinical effectiveness and implementation research to enhance public health impact.,Creative Commons Attribution 4.0 International,Hans Wolff,prison,English
"Dairy Intake and Acne Vulgaris: A Systematic Review and Meta-Analysis of 78,529 Children, Adolescents, and Young Adults","Skin expression of mammalian target of rapamycin and forkhead box transcription factor O1, and serum insulin-like growth factor-1 in patients with acne vulgaris and their relationship with diet.",Creative Commons Attribution,Christina Ellervik,dairy product,English
Modulation of naturalistic maladaptive memories using behavioural and pharmacological reconsolidation-interfering strategies: a systematic review and meta-analysis of clinical and 'sub-clinical' studies,Pharmacological enhancement of exposure-based treatment in PTSD: a qualitative review,Creative Commons Attribution 4.0 International,Sunjeev K. Kamboj,pharmacology,English
