col0,col1,col2,col3
South Oxfordshire,South Oxfordshire District Council,1974-04-01,Milton
South Northamptonshire,South Northamptonshire Council,1974-01-01,Towcester
South Norfolk,South Norfolk District Council,1974-04-01,Long Stratton
Mid Suffolk,Mid Suffolk District Council,1974-04-01,Needham Market
South Staffordshire,South Staffordshire Council,1974-04-01,Codsall
Broadland,Broadland District Council,1974-04-01,Thorpe St Andrew
Rushcliffe,Rushcliffe Borough Council,1974-04-01,West Bridgford
Staffordshire Moorlands,Staffordshire Moorlands District Council,1974-04-01,Leek
Erewash,Erewash Borough Council,1974-04-01,Ilkeston
North East Derbyshire,North East Derbyshire District Council,1974-04-01,Wingerworth
