col0,col1,col2,col3,col4,col5,col6,col7
2020 Iran International Badminton Championships,2021 Iran International Badminton Championships,2019 Iran International Badminton Championships,badminton,2020-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2019 Iran International Badminton Championships,2020 Iran International Badminton Championships,2018 Iran International Badminton Championships,badminton,2019-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2018 Iran International Badminton Championships,2019 Iran International Badminton Championships,2017 Iran International Badminton Championships,badminton,2018-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2017 Iran International Badminton Championships,2018 Iran International Badminton Championships,2015 Iran International Badminton Championships,badminton,2017-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2015 Iran International Badminton Championships,2017 Iran International Badminton Championships,2014 Iran International Badminton Championships,badminton,2015-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2014 Iran International Badminton Championships,2015 Iran International Badminton Championships,2013 Iran International Badminton Championships,badminton,2014-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2013 Iran International Badminton Championships,2014 Iran International Badminton Championships,2012 Iran International Badminton Championships,badminton,2013-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
1999 Ten Days of Dawn,2001 Ten Days of Dawn,1998 Ten Days of Dawn,badminton,1999-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
1995 Ten Days of Dawn,1996 Ten Days of Dawn,1993 Ten Days of Dawn,badminton,1995-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
2012 Iran International Badminton Championships,2013 Iran International Badminton Championships,2011 Iran International Badminton Championships,badminton,2012-01-01,open championship,WikiProject Badminton/tournament focus list,Iran International Badminton Championships
