col0,col1,col2,col3,col4,col5,col6,col7
Cross River State,Executive Council of Cross River State,Kele language,Akwa Ibom State,Nigeria,Calabar,20156,Nigeria
Bauchi State,executive council of Bauchi State,Ɓeele,Plateau State,Nigeria,Bauchi,45837,Nigeria
Plateau State,executive council of Plateau State,Tiv,Taraba State,Nigeria,Jos,30913,Nigeria
Bauchi State,executive council of Bauchi State,Gwa,Gombe State,Nigeria,Bauchi,45837,Nigeria
Sokoto State,executive council of Sokoto State,Nigerian Fulfulde,Zamfara State,Nigeria,Sokoto,25973,Nigeria
Ebonyi State,Ebonyi State Executive Council,Igede,Abia State,Nigeria,Abakaliki,5533,Nigeria
Bauchi State,executive council of Bauchi State,Galambu,Jigawa State,Nigeria,Bauchi,45837,Nigeria
Benue State,executive council of Benue State,Tiv,Nasarawa State,Nigeria,Makurdi,34059,Nigeria
Kebbi State,Executive Council of Kebbi State,Boko language,Zamfara State,Nigeria,Birnin Kebbi,36800,Nigeria
Enugu State,executive council of Enugu State,Idoma,Anambra State,Nigeria,Enugu,7161,Nigeria
Plateau State,executive council of Plateau State,Goemai,Bauchi State,Nigeria,Jos,30913,Nigeria
Kaduna State,executive council of Kaduna State,Jere,Zamfara State,Nigeria,Kaduna,46053,Nigeria
Adamawa State,executive council of Adamawa State,Adamaua-Fulfulde,Borno State,Nigeria,Yola,36917,Nigeria
Zamfara State,executive council of Zamfara State,ut-Ma'in,Sokoto State,Nigeria,Gusau,39762,Nigeria
