col0,col1,col2,col3
cyclopentane,8.7,cyclopentane exposure,400
cyclohexane,8,cyclohexane exposure,78
(2E)-crotonaldehyde,15.5,crotonaldehyde exposure,19
chloroprene,11.3,chloroprene exposure,188
N-butylamine,9.8,N-Butylamine exposure,82
tert-butyl alcohol,8,tert-butyl alcohol exposure,42
sec-butyl acetate,9.8,sec-Butyl acetate exposure,10
butyl acetate,7.6,butyl acetate exposure,10
methyl ethyl ketone,11.4,butanone exposure,78
benzene,7.8,benzene exposure,75
allyl chloride,11.1,allyl chloride exposure,295
allyl alcohol,18,allyl alcohol exposure,17
