col0,col1,col2,col3
Northern Yorke Peninsula,Copper Coast Council,District Chairman of Northern Yorke Peninsula,District Council of Northern Yorke Peninsula
Narridy,District Council of Georgetown,District Chairman of Narridy,District Council of Narridy
Para Wirra,District of Gumeracha,District Chairman of Para Wirra,District Council of Para Wirra
St Peters,"Norwood, Payneham and St Peters",Mayor of St Peters,Corporation of the Town of St Peters
Hindmarsh,City of Hindmarsh Woodville,Mayor of Hindmarsh,Corporation of the Town of Hindmarsh
Port Augusta West,Port Augusta,Mayor of Port Augusta West,Corporation of the Town of Port Augusta West
Yorketown,District of Yorketown,Mayor of Yorketown,Corporation of the Town of Yorketown
Crystal Brook-Redhill,Port Pirie,District Chairman of Crystal Brook-Redhill,District Council of Crystal Brook-Redhill
Pirie,Port Pirie,District Chairman of Pirie,District Council of Pirie
Melville,District of Yorketown,District Chairman of Melville,District Council of Melville
Woodville,City of Henley and Grange,Mayor of Woodville,Corporation of the City of Woodville
Port Adelaide,Port Adelaide Enfield,Mayor of Port Adelaide,Corporation of the City of Port Adelaide
Light,Kapunda and Light,District Chairman of Light,District Council of Light
Mobilong,Murray Bridge,District Chairman of Mobilong,District Council of Mobilong
Enfield,Port Adelaide Enfield,Mayor of Enfield,Corporation of the City of Enfield
