col0,col1,col2,col3,col4,col5,col6,col7
USS Maloy,Consolidated Steel Corporation,Orange,United States of America,Buckley-class destroyer escort,United States Navy,Thomas Joel Maloy,destroyer escort
USS Lowe,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,"Harry James Lowe, Jr.",destroyer escort
USS Leopold,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Robert Lawrence Leopold,destroyer escort
USS Jacob Jones,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Jacob Jones,destroyer escort
USS J.R.Y. Blakely,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,John Russell Young Blakely,destroyer escort
USS Inch,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Richard Inch,destroyer escort
USS Huse,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Harry M. P. Huse,destroyer escort
USS Hurst,Brown Shipbuilding,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Edwin William Hurst,destroyer escort
USS Hill,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Edwin Joseph Hill,destroyer escort
USS Herbert C. Jones,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Herbert C. Jones,destroyer escort
USS Hammann,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Charles Hammann,destroyer escort
USS George,Defoe Shipbuilding Company,Bay City,United States of America,Buckley-class destroyer escort,United States Navy,Eugene F. George,destroyer escort
HMS Goodson,Boston Navy Yard,Boston,United States of America,Evarts-class destroyer escort,United States Navy,Eugene F. George,destroyer escort
HMS Bayntun,Boston Navy Yard,Boston,United States of America,Evarts-class destroyer escort,United States Navy,Henry William Bayntun,destroyer escort
USS Chatelain,Consolidated Steel Corporation,Orange,United States of America,Edsall-class destroyer escort,United States Navy,Hubert Paul Chatelain,destroyer escort
