col0,col1,col2,col3,col4,col5,col6
Apocalypse,Cable,Ancient Egypt,Marvel universe,Dark Riders,male,superhuman durability
Emma Frost,Trevor Fitzroy,Boston,Marvel universe,X-Men,female,superhuman durability
Apocalypse,Cable,Ancient Egypt,Marvel universe,Dark Riders,male,shapeshifting
Harry Osborn,Spider-man,New York City,Marvel universe,Alchemax,male,superhuman speed
Apocalypse,Cable,Ancient Egypt,Marvel universe,Dark Riders,male,immortality
Harry Osborn,Spider-man,New York City,Marvel universe,Alchemax,male,superhuman strength
Apocalypse,Cable,Ancient Egypt,Marvel universe,Dark Riders,male,superhuman strength
Emma Frost,Trevor Fitzroy,Boston,Marvel universe,X-Men,female,superhuman strength
Harry Osborn,Spider-man,New York City,Marvel universe,Alchemax,male,healing factor
Apocalypse,Cable,Ancient Egypt,Marvel universe,Dark Riders,male,telepathy
