col0,col1,col2,col3,col4,col5,col6
2002 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2002 Hungarian International Badminton Championships – Men's singles,2001 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2001 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2001 Hungarian International Badminton Championships – Men's singles,2000 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2000 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2000 Hungarian International Badminton Championships – Men's singles,1999 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1997 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1997 Hungarian International Badminton Championships – Men's singles,1996 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1994 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1994 Hungarian International Badminton Championships – Men's singles,1993 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1993 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1993 Hungarian International Badminton Championships – Men's singles,1992 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1995 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1995 Hungarian International Badminton Championships – Men's singles,1994 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1998 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1998 Hungarian International Badminton Championships – Men's singles,1997 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1991 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1991 Hungarian International Badminton Championships – Men's singles,1990 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1979 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1979 Hungarian International Badminton Championships – Men's singles,1978 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1985 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1985 Hungarian International Badminton Championships – Men's singles,1984 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1987 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1987 Hungarian International Badminton Championships – Men's singles,1986 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1982 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1982 Hungarian International Badminton Championships – Men's singles,1981 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
