col0,col1,col2,col3,col4,col5,col6,col7
2017 Rogers Cup,2017-01-01,Women's Tennis Association,2017-08-13,2017-08-07,2016 Rogers Cup (women),WTA Premier Five,Canadian Open (women)
2016 Rogers Cup,2016-01-01,Women's Tennis Association,2016-07-31,2016-07-25,2015 Rogers Cup (women),WTA Premier Five,Canadian Open (women)
2015 Rogers Cup,2015-01-01,Women's Tennis Association,2015-08-16,2015-08-08,2014 Rogers Cup (women),WTA Premier Five,Canadian Open (women)
2014 Rogers Cup,2014-01-01,Women's Tennis Association,2014-08-10,2014-08-02,2013 Rogers Cup (women),WTA Premier Five,Canadian Open (women)
2013 Rogers Cup,2013-01-01,Women's Tennis Association,2013-08-11,2013-08-03,2012 Rogers Cup (women),2013 WTA Tour,Canadian Open (women)
2012 Rogers Cup,2012-01-01,Women's Tennis Association,2012-08-13,2012-08-07,2011 Rogers Cup (women),2012 Rogers Cup,Canadian Open (women)
1994 Canadian Open - women,1994-01-01,Women's Tennis Association,1994-08-21,1994-08-15,1993 Canadian Open - women's tournament,WTA Tier I tournaments,tennis tournament edition by gender
2007 Rogers Cup,2007-01-01,Women's Tennis Association,2007-08-19,2007-08-13,2006 Rogers Cup (women),2007 WTA Tour,tennis tournament edition by gender
2011 Rogers Cup,2011-01-01,Women's Tennis Association,2011-08-14,2011-08-08,2010 Rogers Cup (women),WTA Premier Five,tennis tournament edition
1994 Canadian Open - women,1994-01-01,Women's Tennis Association,1994-08-21,1994-08-15,1993 Canadian Open - women's tournament,WTA Tier I tournaments,Canadian Open (women)
2007 Rogers Cup,2007-01-01,Women's Tennis Association,2007-08-19,2007-08-13,2006 Rogers Cup (women),2007 WTA Tour,Canadian Open (women)
2011 Rogers Cup,2011-01-01,Women's Tennis Association,2011-08-14,2011-08-08,2010 Rogers Cup (women),WTA Premier Five,Canadian Open (women)
2004 Rogers Cup,2004-01-01,Women's Tennis Association,2004-08-08,2004-07-31,2003 Rogers AT&T Cup,2004 Rogers AT&T Cup,tennis tournament edition by gender
