col0,col1,col2,col3,col4,col5
Middle Paleolithic,paleolithic,Upper Paleolithic,-300000-01-01T00:00:00Z,-30000-01-01T00:00:00Z,archaeological period
Nordic Bronze Age,Bronze Age,Jastorf culture,-1799-01-01T00:00:00Z,-0529-01-01T00:00:00Z,archaeological period
Yayoi period,history of Japan,Kofun period,-0299-01-01T00:00:00Z,0250-01-01,archaeological period
Jōmon period,history of Japan,Yayoi period,-14500-01-01T00:00:00Z,-0299-01-01T00:00:00Z,archaeological period
Neo-Elamite period,Sumer,Achaemenid Empire,-1099-01-01T00:00:00Z,-0538-01-01T00:00:00Z,historical period
Late Intermediate Period,Cultural periods of Peru,Late Horizon,1000-01-01,1450-01-01,historical period
Early Horizon,Cultural periods of Peru,Early Intermediate Period,-0899-01-01T00:00:00Z,0200-01-01,historical period
Early Intermediate Period,Cultural periods of Peru,Middle Horizon,0200-01-01,0600-01-01,historical period
Proto-Elamite period,Sumer,Old Elamite period,-3099-01-01T00:00:00Z,-2699-01-01T00:00:00Z,historical period
Yayoi period,history of Japan,Kofun period,-0299-01-01T00:00:00Z,0250-01-01,archaeological culture
