col0,col1,col2,col3,col4,col5
Suhl,medium regional center,Thuringia,Germany,422,103.02
Miami Beach,city of the United States,Miami-Dade County,United States of America,1,39.414777
Putbus,seaside resort,Vorpommern-Rügen District,Germany,50,66.6
Suhl,mining community,Thuringia,Germany,422,103.02
Palm Springs,gay village,Riverside County,United States of America,146,245.98622
Abastumani,human settlement,Adigeni Municipality,Georgia,1250,19.54
Mossautal,resort town,Odenwaldkreis,Germany,327,48.49
Putbus,resort town,Vorpommern-Rügen District,Germany,50,66.6
Wassenach,resort town,Brohltal,Germany,288,6.16
Werder,resort town,Potsdam-Mittelmark District,Germany,31,115.99
Bad Bibra,resort town,Burgenlandkreis,Germany,152,49.76
Illingen,resort town,Neunkirchen,Germany,352,36.08
Sassnitz,resort town,Vorpommern-Rügen District,Germany,30,47.07
