col0,col1,col2,col3,col4,col5,col6
1972 Welsh International Badminton Championships,open championship,1972-01-01,1971 Welsh International Badminton Championships,United Kingdom,1972 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1973 Welsh International Badminton Championships,open championship,1973-01-01,1972 Welsh International Badminton Championships,United Kingdom,1973 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1974 Welsh International Badminton Championships,open championship,1974-01-01,1973 Welsh International Badminton Championships,United Kingdom,1974 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1975 Welsh International Badminton Championships,open championship,1975-01-01,1974 Welsh International Badminton Championships,United Kingdom,1975 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1976 Welsh International Badminton Championships,open championship,1976-01-01,1975 Welsh International Badminton Championships,United Kingdom,1976 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1977 Welsh International Badminton Championships,open championship,1977-01-01,1976 Welsh International Badminton Championships,United Kingdom,1977 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1978 Welsh International Badminton Championships,open championship,1978-01-01,1977 Welsh International Badminton Championships,United Kingdom,1978 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1979 Welsh International Badminton Championships,open championship,1979-01-01,1978 Welsh International Badminton Championships,United Kingdom,1979 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1980 Welsh International Badminton Championships,open championship,1980-01-01,1979 Welsh International Badminton Championships,United Kingdom,1980 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1981 Welsh International Badminton Championships,open championship,1981-01-01,1980 Welsh International Badminton Championships,United Kingdom,1981 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1982 Welsh International Badminton Championships,open championship,1982-01-01,1981 Welsh International Badminton Championships,United Kingdom,1982 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1983 Welsh International Badminton Championships,open championship,1983-01-01,1982 Welsh International Badminton Championships,United Kingdom,1983 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1984 Welsh International Badminton Championships,open championship,1984-01-01,1983 Welsh International Badminton Championships,United Kingdom,1984 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1985 Welsh International Badminton Championships,open championship,1985-01-01,1984 Welsh International Badminton Championships,United Kingdom,1985 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
1986 Welsh International Badminton Championships,open championship,1986-01-01,1985 Welsh International Badminton Championships,United Kingdom,1986 Welsh International Badminton Championships – Men's singles,Welsh International Badminton Championships
