col0,col1,col2,col3
2019 Pulwama attack,Lethapora,Jaish-e-Mohammed,terrorist attack
Murder of Eduardo Puelles,Arrigorriaga,Euskadi Ta Askatasuna,terrorist attack
Murder of Ori Ansbacher,Ein Yael,Ori Ansbacher,terrorist attack
2019 Jolo Cathedral bombing,Our Lady of Mount Carmel Cathedral,Ajang Ajang Group,terrorist attack
November 2018 Mogadishu attack,Mogadishu,Al-Shabaab,terrorist attack
2003 Latifiya ambush,Latifiya,Jamaat Ansar al-Sunna,terrorist attack
1987 Zaragoza Military Bus bombing,Church of San Juan de los Panetes (Zaragoza),Euskadi Ta Askatasuna,terrorist attack
Montreal Stock Exchange bombing,Tour de la Bourse,Front de libération du Québec,terrorist attack
2018 suicide bombing in Charikar,Charikar,Taliban,terrorist attack
Attack against the Guardia Civil barracks in Cartagena,Cartagena,Euskadi Ta Askatasuna,terrorist attack
1923 Jogono Police Station bombing,Jongno District,Heroic Corps,terrorist attack
