col0,col1,col2,col3
The 4th place,Grosse Schanze,Bern,Category:Public art in Bern
as the crow flies Bern-Schwäbisch Hall,Brünnengut,Bern,Category:Public art in Bern
Willy Liechti memorial fountain,Tscharnergut quarter,Bern,Category:Public art in Bern
Ziegler hospital ball fountain,Ziegler hospital,Bern,Category:Public art in Bern
the silent doorman,Kirchenfeldbrücke,Bern,Category:Public art in Bern
ÜBER-SETZEN,Cemetry Bümpliz,Bern,Category:Public art in Bern
aaruf - aarab,animal park Dählhölzli,Bern,Category:Public art in Bern
PH 14,Inselspital,Bern,Category:Public art in Bern
ÜBER-SETZEN,Cemetry Bümpliz,Bern,decorative fountain complex Bümpliz cemetery
Ziegler hospital ball fountain,Ziegler hospital,Weissenbühl,Fountains in Bern
Willy Liechti memorial fountain,Tscharnergut quarter,Bern-Mittelland administrative district,Fountains in Bern
Ziegler hospital ball fountain,Ziegler hospital,Mattenhof-Weissenbühl,Fountains in Bern
Willy Liechti memorial fountain,Tscharnergut quarter,canton of Bern,Fountains in Bern
Ziegler hospital ball fountain,Ziegler hospital,canton of Bern,Fountains in Bern
