col0,col1,col2,col3,col4
Iraq,Iraqi,Yazidis,Middle East,right
Iran,Persian,Turkic peoples,Middle East,right
Iraq,Iraqi,Arabs,Middle East,right
Iran,Persian,Kurds,Middle East,right
New Zealand,New Zealand,Pacific Islander,Australasia,left
Algeria,Algerian,Europeans,North Africa,right
Uzbekistan,Uzbekistani,Tatars,Central Asia,right
Singapore,Singaporean,Chinese Singaporeans,Southeast Asia,left
Argentina,Argentine,Europeans,South America,right
Australia,Australian,English people,MIKTA,left
Colombia,Colombian,Afro-Colombians,South America,right
Brazil,Brazilian,Afro-Brazilian,South American Plate,right
People's Republic of China,Chinese,Zhuang people,East Asia,right
Brazil,Brazilian,Afro-Brazilian,South America,right
