col0,col1,col2,col3,col4,col5
Donald Duck,male,fictional duck,Clarence Nash,protagonist,Duckburg
Sharla,female,funny animal,Madeleine Curry,minor character,Bunnyburrow
Travis,male,funny animal,Byron Howard,minor character,Bunnyburrow
Gary,male,funny animal,David A. Thibodeau,minor character,Zootopia
Larry,male,funny animal,Rich Moore,minor character,Zootopia
Priscilla,female,funny animal,Kristen Bell,minor character,Zootopia
Landlady,female,funny animal,Josie Trinidad,minor character,Zootopia
Officer McHorn,male,funny animal,Mark Smith,minor character,Zootopia
Pronk Oryx-Antlerson,male,funny animal,Jared Bush,minor character,Zootopia
Bucky Oryx-Antlerson,male,funny animal,Byron Howard,minor character,Zootopia
Peter Moosebridge,male,funny animal,Peter Mansbridge,minor character,Zootopia
Doug,male,funny animal,Rich Moore,henchperson,Sahara Square
Fru Fru,female,funny animal,Leah Latham,supporting character,Tundratown
Frantic Pig,male,funny animal,Josh Dallas,minor character,Zootopia
