col0,col1,col2,col3,col4
Tajik Wikipedia,Tajik,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Uzbek Wikipedia,Uzbek,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Kurdish Wikipedia,Kurdish languages,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Wikimedia Meta-Wiki,multiple languages,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Wikimedia Incubator,multiple languages,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Serbian Wikipedia,Serbian,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Crimean Tatar Wikipedia,Crimean Tatar,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Kazakh Wikipedia,Kazakh,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Chinese Wikipedia,Standard Chinese,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Wikidata,multiple languages,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
Wikimedia Commons,multiple languages,Wikimedia Foundation,wiki with script conversion,Wikimedia Foundation
