col0,col1,col2,col3,col4,col5,col6
Osasco,city,694844,Santana de Parnaíba,0.776,Brazil,Gyumri
São Paulo,city,12106920,Diadema,0.805,Brazil,Toronto
Rio de Janeiro,city with millions of inhabitants,6520266,Itaguaí,0.799,Brazil,Geneva
São Paulo,big city,12106920,Itaquaquecetuba,0.805,Brazil,Havana
Rio de Janeiro,municipality of Brazil,6520266,Itaguaí,0.799,Brazil,Geneva
São Paulo,city with millions of inhabitants,12106920,São Vicente,0.805,Brazil,Asunción
Rio de Janeiro,big city,6520266,Nilópolis,0.799,Brazil,Caracas
São Paulo,city with millions of inhabitants,12106920,Diadema,0.805,Brazil,Toronto
Rio de Janeiro,city,6520266,Nilópolis,0.799,Brazil,Geneva
Águas de São Pedro,municipality of Brazil,2707,"São Pedro, São Paulo",0.854,Brazil,Cubatão
Osasco,big city,694844,São Paulo,0.776,Brazil,Osasco
Águas de São Pedro,city,2707,"São Pedro, São Paulo",0.854,Brazil,Cubatão
Osasco,city,694844,São Paulo,0.776,Brazil,Osasco
