col0,col1,col2,col3
B.E.N.,Martin Short,anthropomorphic object,Treasure Planet
Norm,John Viener,fictional robot,Phineas and Ferb The Movie: Across the 2nd Dimension
Beerbot 5000,Hamish Parkinson,fictional robot,Thor: Ragnarok
Baymax,Scott Adsit,fictional robot,Big Hero 6
B.E.N.,Martin Short,fictional robot,Treasure Planet
Ultron,James Spader,fictional robot,Avengers: Age of Ultron
Weebo,Jodi Benson,fictional robot,Flubber
F.R.I.D.A.Y.,Kerry Condon,fictional robot,Avengers: Age of Ultron
J.A.R.V.I.S.,Paul Bettany,fictional robot,The Avengers
Rodney Copperbottom,Ewan McGregor,fictional robot,Robots
ROB,Daniel Owsen,fictional robot,Star Fox
