col0,col1,col2,col3,col4,col5
The Langoliers,2,Ned Bastille,180,Mitchell Galin,The Langoliers
Jesus of Nazareth,5,Reginald Mills,360,Vincenzo Labella,Jesus of Nazareth
Heidi,2,Randy Jon Morgan,193,Frank Agrama,Heidi
The Langoliers,2,Ned Bastille,180,Richard P. Rubinstein,The Langoliers
The Pillars of the Earth,8,Richard Comeau,60,Tony Scott,The Pillars of the Earth
The Triangle,3,Sonny Baskin,240,Volker Engel,The Triangle
Moby Dick,2,Sean Barton,171,Francis Ford Coppola,Moby Dick
The Pillars of the Earth,8,Richard Comeau,60,Ridley Scott,The Pillars of the Earth
Little Women,2,"Donald Wills Douglas, Sr.",200,David G. Victor,Little Women
Holocaust,4,Alan Heim,419,Robert Berger,Holocaust
