col0,col1,col2,col3
1971 Circuit Franco-Belge,Julien Knockaert,road bicycle racing,1971-05-16
1994 Circuit Franco-Belge,Steve Rover,road bicycle racing,1994-04-10
1992 Circuit Franco-Belge,Leif Tore Eriksen,road bicycle racing,1992-04-16
1991 Circuit Franco-Belge,David Spears,road bicycle racing,1991-04-14
1990 Circuit Franco-Belge,Johan Van Den Dries,road bicycle racing,1990-04-08
1989 Circuit Franco-Belge,Daniël Van Steenbergen,road bicycle racing,1989-04-09
1988 Circuit Franco-Belge,Yves Cossemijns,road bicycle racing,1988-04-17
1987 Circuit Franco-Belge,Rudy De Vijlder,road bicycle racing,1987-04-12
1984 Circuit Franco-Belge,Eddy Haelemeersch,road bicycle racing,1984-04-23
1983 Circuit Franco-Belge,Martin Durant,road bicycle racing,1983-04-04
1977 Circuit Franco-Belge,Bernard Depuydt,road bicycle racing,1977-05-08
1976 Circuit Franco-Belge,Luc Capelle,road bicycle racing,1976-05-27
1974 Circuit Franco-Belge,Karel Sels,road bicycle racing,1974-05-05
1973 Circuit Franco-Belge,Roger De Beuckelaer,road bicycle racing,1973-05-06
1972 Circuit Franco-Belge,Johannes Hendrickx,road bicycle racing,1972-05-07
