col0,col1,col2,col3,col4,col5,col6
1974 Monte Carlo WCT,1975 Monte Carlo WCT,1973 Monte Carlo Open,1974-01-01,tennis tournament edition,Monaco,tennis
1996 Monte Carlo Open,1997 Monte Carlo Open,1995 Monte Carlo Open,1996-01-01,tennis tournament edition,Monaco,tennis
1987 Monte Carlo Open,1988 Monte Carlo Open,1986 Monte Carlo Open,1987-01-01,tennis tournament edition,Monaco,tennis
2011 Monte-Carlo Rolex Masters,2012 Monte-Carlo Rolex Masters,2010 Monte-Carlo Rolex Masters,2011-01-01,tennis tournament edition,France,tennis
2013 Monte-Carlo Rolex Masters,2014 Monte-Carlo Rolex Masters,2012 Monte-Carlo Rolex Masters,2013-01-01,Monte-Carlo Masters,France,tennis
1990 Monte Carlo Open,1991 Monte Carlo Open,1989 Monte Carlo Open,1990-01-01,Monte-Carlo Masters,Monaco,tennis
1989 Monte Carlo Open,1990 Monte Carlo Open,1988 Monte Carlo Open,1989-01-01,Monte-Carlo Masters,Monaco,tennis
1986 Monte Carlo Open,1987 Monte Carlo Open,1985 Monte Carlo Open,1986-01-01,Monte-Carlo Masters,Monaco,tennis
1979 Monte Carlo Open,1980 Monte Carlo Open,1978 Monte Carlo WCT,1979-01-01,Monte-Carlo Masters,Monaco,tennis
1977 Monte Carlo WCT,1978 Monte Carlo WCT,1976 Monte Carlo Open,1977-01-01,Monte-Carlo Masters,Monaco,tennis
