col0,col1,col2,col3
Room 715,room,1st arrondissement of Paris,France
Room 858,room,1st arrondissement of Paris,France
Room 807,room,1st arrondissement of Paris,France
Room 816,room,1st arrondissement of Paris,France
Room 804,room,1st arrondissement of Paris,France
Room  907,room,1st arrondissement of Paris,France
Room 847,room,1st arrondissement of Paris,France
Room 812,room,1st arrondissement of Paris,France
Room 726,room,1st arrondissement of Paris,France
Philosophical hall of Strahov library,library,Prague,Czech Republic
Room 809,exhibition room,1st arrondissement of Paris,France
Room 105,courtyard,1st arrondissement of Paris,France
Room 845,room,1st arrondissement of Paris,France
Room 846,room,1st arrondissement of Paris,France
