col0,col1,col2,col3,col4
Barbara Gordon,fictional human,DC Universe,English,female
Hercule Poirot,fictional human,Agatha Christie's fictional universe,French,male
James Gordon,fictional human,DC Universe,English,male
Jason Todd,supervillain,DC Universe,English,male
Neon,metahuman,DC Universe,English,female
Hercule Poirot,literary character,Agatha Christie's fictional universe,French,male
Bruce Wayne,fictional detective,Nolanverse,English,male
Batman,fictional detective,DC animated universe,English,male
Batwoman,fictional detective,DC Universe,English,female
John Blake,fictional detective,Nolanverse,English,male
Joe West,fictional detective,Arrowverse,English,male
Space Ranger,fictional detective,DC Universe,English,male
Nathaniel Dusk,fictional detective,DC Universe,English,male
Mysto,fictional detective,DC Universe,English,male
