col0,col1,col2,col3,col4
Eurovision Song Contest 2018,Netta Barzilai,43,Eurovision Song Contest 2017,2018-05-12
Eurovision Song Contest 1980,Johnny Logan,19,Eurovision Song Contest 1979,1980-04-19
Eurovision Song Contest 1973,Anne-Marie David,17,Eurovision Song Contest 1972,1973-04-07
Eurovision Song Contest 1979,Gali Atari,19,Eurovision Song Contest 1978,1979-03-31
Eurovision Song Contest 1978,Izhar Cohen,20,Eurovision Song Contest 1977,1978-04-22
Eurovision Song Contest 1993,Niamh Kavanagh,25,Eurovision Song Contest 1992,1993-05-15
Eurovision Song Contest 1995,Secret Garden,23,Eurovision Song Contest 1994,1995-05-13
Eurovision Song Contest 1989,Riva,22,Eurovision Song Contest 1988,1989-05-06
Eurovision Song Contest 1988,Céline Dion,21,Eurovision Song Contest 1987,1988-04-30
Eurovision Song Contest 1987,Johnny Logan,22,Eurovision Song Contest 1986,1987-05-09
Eurovision Song Contest 1985,Bobbysocks!,19,Eurovision Song Contest 1984,1985-05-04
Eurovision Song Contest 1977,Marie Myriam,18,Eurovision Song Contest 1976,1977-05-07
Eurovision Song Contest 1976,Brotherhood of Man,18,Eurovision Song Contest 1975,1976-04-03
Eurovision Song Contest 1971,Séverine,18,Eurovision Song Contest 1970,1971-04-03
Eurovision Song Contest 1992,Linda Martin,23,Eurovision Song Contest 1991,1992-05-09
