col0,col1,col2,col3,col4
Genghis Khan,Genghis Khan,Genghis Khan,instrumental music,Iron Maiden
Sea of Monsters,Sea of Monsters,Sea of Monsters,instrumental music,George Martin
Peter Gunn,Peter Gunn,Peter Gunn,instrumental music,Henry Mancini
The Barbarian,The Barbarian,The Barbarian,instrumental music,"Emerson, Lake & Palmer"
Slowblow,Slowblow,Slowblow,instrumental music,Depeche Mode
Tank,Tank,Tank,instrumental music,"Emerson, Lake & Palmer"
Speed of Life,Speed of Life,Speed of Life,instrumental music,David Bowie
Murder,Murder,Murder,instrumental music,New Order
Overture,Overture,Overture,instrumental music,The Who
Flying,Flying,Flying,instrumental music,The Beatles
