col0,col1,col2,col3
Chortkiv,Chortkiv Raion,city of regional significance of Ukraine,Ternopil Oblast
Novhorod-Siverskyi,Novgorod-Severskij County,city of regional significance of Ukraine,Chernihiv Oblast
Izmail,Izmailsky Uyezd,city of regional significance of Ukraine,Odessa Oblast
Kryvyi Rih,Kryvyi Rih Raion,big city,Dnipropetrovsk Oblast
Romny,Romny Raion,political territorial entity,Sumy Oblast
Kropyvnytskyi,Kirovohrad Oblast,center of oblast,Kirovohrad Oblast
Vinnytsia,Vinnytsia Oblast,center of oblast,Vinnytsia Oblast
Khmelnytskyi,Khmelnytskyi Oblast,center of oblast,Khmelnytskyi Oblast
Vinnytsia,Vinnytsia Oblast,city/town,Vinnytsia Oblast
Okhtyrka,Akhtyr County,city of regional significance of Ukraine,Akhtyr County
Romny,Romny Raion,city of regional significance of Ukraine,Romny Raion
