col0,col1,col2,col3
We Kiss in a Shadow,The King and I,musical composition,Oscar Hammerstein II
The Surrey with the Fringe on Top,Oklahoma!,musical composition,Oscar Hammerstein II
People Will Say We're in Love,Oklahoma!,musical composition,Oscar Hammerstein II
Luck Be a Lady,Guys and Dolls,musical composition,Frank Loesser
Kansas City,Oklahoma!,musical composition,Oscar Hammerstein II
If I Loved You,Carousel,musical composition,Oscar Hammerstein II
I Whistle a Happy Tune,The King and I,musical composition,Oscar Hammerstein II
I Have Dreamed,The King and I,musical composition,Oscar Hammerstein II
I've Never Been in Love Before,Guys and Dolls,musical composition,Frank Loesser
"Hello, Young Lovers",The King and I,musical composition,Oscar Hammerstein II
Getting to Know You,The King and I,musical composition,Oscar Hammerstein II
Bali Ha'i,South Pacific,musical composition,Oscar Hammerstein II
With One Look,Sunset Boulevard,musical composition,Christopher Hampton
The Music of the Night,The Phantom of the Opera,musical composition,Richard Stilgoe
