col0,col1,col2,col3,col4,col5,col6,col7
Kandal Province,Cambodia,Ta Khmau,Phnom Penh,province of Cambodia,3568,Cambodia,Angk Snuol District
Koh Kong Province,Cambodia,Koh Kong,Pursat Province,province of Cambodia,11160,Cambodia,Koh Kong District
Kampong Cham Province,Cambodia,Kampong Cham,Kampong Thom Province,province of Cambodia,4549,Cambodia,Srey Santhor District
Banteay Meanchey Province,Cambodia,Sisophon,Oddar Meanchey Province,province of Cambodia,6679,Cambodia,Thma Puok District
Koh Kong Province,Cambodia,Koh Kong,Pursat Province,border town,11160,Cambodia,Koh Kong District
Pursat Province,Cambodia,Pursat,Trat,province of Cambodia,12692,Cambodia,Bakan District
Battambang Province,Cambodia,Battambang,Banteay Meanchey Province,province of Cambodia,11702,Cambodia,Samlout District
Kratié Province,Cambodia,Kratié,Bình Phước,province of Cambodia,11094,Cambodia,Snuol District
Svay Rieng Province,Cambodia,Svay Rieng,Long An,province of Cambodia,2966,Cambodia,Svay Chrum District
Kampot Province,Cambodia,Kampot,Kiên Giang,province of Cambodia,4873,Cambodia,Kampong Trach District
