col0,col1,col2,col3,col4
Caesar's Rhine bridges,wooden bridge,Germany,Neuwied,400
Hartland Bridge,wooden bridge,Canada,"Hartland, New Brunswick",391
Félix-Gabriel-Marchand Bridge,wooden bridge,Canada,Mansfield-et-Pontefract,148.66
Kapellbrücke,wooden bridge,Switzerland,Lucerne,204.7
Vebjørn Sand Da Vinci Project,arch bridge,Norway,Ås,108
Holzbrücke Wettingen-Neuenhof,arch bridge,Switzerland,Aargau,38
"Ponte Vecchio, Bassano",arch bridge,Italy,Bassano del Grappa,58
Hartland Bridge,truss bridge,Canada,"Hartland, New Brunswick",391
Félix-Gabriel-Marchand Bridge,truss bridge,Canada,Mansfield-et-Pontefract,148.66
Bjerke Bridge,steel bridge,Norway,Ringerike,173.8
Lenora wooden bridge,covered bridge,Czech Republic,Lenora,27.77
Bridge of Ha! Ha! Lake,covered bridge,Canada,Ferland-et-Boilleau,37.11
Des Rivières Bridge,covered bridge,Canada,Notre-Dame-de-Stanbridge,41.5
Pont de la Frontière,covered bridge,Canada,Potton,31.04
Routhierville Bridge,covered bridge,Canada,Routhierville,78.53
