col0,col1,col2,col3
County Tipperary,County Offaly,South Tipperary,office of the Cathaoirleach of Tipperary County Council
County Longford,County Leitrim,Ballymahon,office of the Cathaoirleach of Longford County Council
County Wicklow,County Carlow,Arklow,office of the Cathaoirleach of Wicklow County Council
County Wexford,County Carlow,Enniscorthy,office of the Cathaoirleach of Wexford County Council
County Kilkenny,County Carlow,Castlecomer,office of the Mayor of Kilkenny
County Carlow,County Kilkenny,Carlow,office of the Cathaoirleach of County Carlow
County Waterford,County Tipperary,Waterford City,office of the Mayor of Waterford
County Offaly,County Tipperary,Tullamore,office of the Cathaoirleach of Offaly County Council
County Sligo,County Mayo,Sligo,office of the Cathaoirleach of Sligo County Council
County Mayo,County Sligo,Ballina,office of the Cathaoirleach of County Mayo
