col0,col1,col2,col3
Heller Altar piece,Coronation of the Virgin,German Renaissance,189
Paumgartner altarpiece,Nativity of Jesus,German Renaissance,155
Triptych of the Sedano family,Madonna and Child,Flemish Primitives,97
Last Judgement,Day of Judgment,Flemish Primitives,99
The Last Judgment,Day of Judgment,Flemish Primitives,223.5
Portinari Altarpiece,Adoration of the shepherds,Flemish Primitives,253
Adoration of the Magi Triptych,Adoration of the Magi,Flemish Primitives,95
The Epiphany,Adoration of the Magi,Flemish Primitives,146.7
Triptych of Vienne,Sacra Conversazione,Flemish Primitives,69.5
Donne Triptych,Sacra Conversazione,Flemish Primitives,71
Annunciation Triptych,Annunciation,Flemish Primitives,86
Mérode Altarpiece,Annunciation,Flemish Primitives,64.5
The Last Supper,Last Supper,Flemish Primitives,88
