col0,col1,col2,col3,col4,col5,col6
2012 Boston Open Badminton Championships,2012 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2013 Boston Open Badminton Championships,2012-01-01,United States of America
2006 Boston Open Badminton Championships,2006 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2007 Boston Open Badminton Championships,2006-01-01,United States of America
2002 Boston Open Badminton Championships,2002 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2003 Boston Open Badminton Championships,2002-01-01,United States of America
2001 Boston Open Badminton Championships,2001 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2002 Boston Open Badminton Championships,2001-01-01,United States of America
2000 Boston Open Badminton Championships,2000 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2001 Boston Open Badminton Championships,2000-01-01,United States of America
1999 Boston Open Badminton Championships,1999 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2000 Boston Open Badminton Championships,1999-01-01,United States of America
1998 Boston Open Badminton Championships,1998 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,1999 Boston Open Badminton Championships,1998-01-01,United States of America
2011 Boston Open Badminton Championships,2011 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2012 Boston Open Badminton Championships,2011-01-01,United States of America
2010 Boston Open Badminton Championships,2010 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2011 Boston Open Badminton Championships,2010-01-01,United States of America
2009 Boston Open Badminton Championships,2009 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2010 Boston Open Badminton Championships,2009-01-01,United States of America
2008 Boston Open Badminton Championships,2008 Boston Open Badminton Championships – Men's doubles,Cambridge,badminton,2009 Boston Open Badminton Championships,2008-01-01,United States of America
