col0,col1,col2,col3,col4,col5,col6,col7
1983 Indianapolis 500,1983 IndyCar season,auto racing,1983-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Tom Sneva
2004 Indianapolis 500,2004 IndyCar Series season,auto racing,2004-05-30,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Buddy Rice
1980 Indianapolis 500,1980 IndyCar season,auto racing,1980-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Johnny Rutherford
1991 Indianapolis 500,1991 IndyCar season,auto racing,1991-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Rick Mears
1988 Indianapolis 500,1988 IndyCar season,auto racing,1988-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Rick Mears
1984 Indianapolis 500,1984 IndyCar season,auto racing,1984-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Rick Mears
1996 Indianapolis 500,1996 Indy Racing League season,auto racing,1996-05-26,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Buddy Lazier
2006 Indianapolis 500,2006 IndyCar Series season,auto racing,2006-05-28,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Sam Hornish Jr.
1992 Indianapolis 500,1992 IndyCar season,auto racing,1992-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Al Unser Jr.
1994 Indianapolis 500,1994 IndyCar season,auto racing,1994-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Al Unser Jr.
1999 Indianapolis 500,1999 Indy Racing League season,auto racing,1999-05-30,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Kenny Bräck
2003 Indianapolis 500,2003 IndyCar Series season,auto racing,2003-05-25,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Gil de Ferran
2014 Indianapolis 500,2014 IndyCar Series season,auto racing,2014-05-25,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Ryan Hunter-Reay
