col0,col1,col2,col3,col4,col5,col6,col7
Thor,FSK 12,Patrick Doyle,no age restriction (U),film,Matt Ducey,Norway,Thor
Captain America: The First Avenger,FSK 12,Alan Silvestri,no age restriction (U),film,Caroline Royce,Norway,Captain America: The First Avenger
The Avengers,FSK 12,Alan Silvestri,no age restriction (U),3D film,Jeremy Renner,New York City,The Avengers
Harry Potter and the Order of the Phoenix,FSK 12,Nicholas Hooper,no age restriction (U),3D film,Oliver Phelps,England,Harry Potter and the Order of the Phoenix
The Avengers,FSK 12,Alan Silvestri,no age restriction (U),film,Jeremy Renner,New York City,The Avengers
Harry Potter and the Order of the Phoenix,FSK 12,Nicholas Hooper,no age restriction (U),film,Tony Maudsley,England,Harry Potter and the Order of the Phoenix
Iron Man 3,FSK 12,Brian Tyler,no age restriction (U),film,Stephanie Szostak,Switzerland,Iron Man 3
Captain America: The First Avenger,FSK 12,Alan Silvestri,no age restriction (U),3D film,Rosanna Hoult,Norway,Captain America: The First Avenger
Harry Potter and the Order of the Phoenix,FSK 12,Nicholas Hooper,no age restriction (U),film,Rupert Grint,England,Harry Potter and the Order of the Phoenix
Captain America: The First Avenger,FSK 12,Alan Silvestri,no age restriction (U),3D film,Billy Lozowski,London,Captain America: The First Avenger
Thor,FSK 12,Patrick Doyle,no age restriction (U),film,Jeremy Renner,Jotunheim,Thor
Guardians of the Galaxy,FSK 12,Tyler Bates,no age restriction (U),film,Michael Rooker,United States of America,Guardians of the Galaxy: Awesome Mix Vol. 1 – Original Motion Picture Soundtrack
Iron Man 3,FSK 12,Brian Tyler,no age restriction (U),3D film,J.C. Robaina,Switzerland,Iron Man 3
Thor,FSK 12,Patrick Doyle,no age restriction (U),film,Jeremy Renner,Norway,Thor
Iron Man 3,FSK 12,Brian Tyler,no age restriction (U),film,J.C. Robaina,Switzerland,Iron Man 3
