col0,col1,col2,col3,col4,col5,col6
South Dakota Sports Hall of Fame ID,Sandy Jerstad,single value constraint,United States of America,South Dakota Sports Hall of Fame,South Dakota,Wikidata property related to a sports hall of fame
Indiana Basketball Hall of Fame ID,Daniel Sparks,single value constraint,United States of America,Indiana Basketball Hall of Fame,Indiana,Wikidata property related to a sports hall of fame
Vermont Sports Hall of Fame athlete ID,Lindy Cochran,single value constraint,United States of America,Vermont Sports Hall of Fame,Vermont,Wikidata property related to a sports hall of fame
Alaska Sports Hall of Fame athlete ID,Bradford Washburn,single value constraint,United States of America,Alaska Sports Hall of Fame,Alaska,Wikidata property related to a sports hall of fame
California Sports Hall of Fame athlete ID,Tommie Smith,single value constraint,United States of America,California Sports Hall of Fame,California,Wikidata property related to a sports hall of fame
Indiana Basketball Hall of Fame ID,Daniel Sparks,single value constraint,United States of America,Indiana Basketball Hall of Fame,Indiana,Wikidata property related to basketball
South Dakota Sports Hall of Fame ID,Sandy Jerstad,single value constraint,United States of America,South Dakota Sports Hall of Fame,South Dakota,Wikidata property for authority control for people
Indiana Basketball Hall of Fame ID,Daniel Sparks,single value constraint,United States of America,Indiana Basketball Hall of Fame,Indiana,Wikidata property for authority control for people
Vermont Sports Hall of Fame athlete ID,Lindy Cochran,single value constraint,United States of America,Vermont Sports Hall of Fame,Vermont,Wikidata property for authority control for people
Alaska Sports Hall of Fame athlete ID,Bradford Washburn,single value constraint,United States of America,Alaska Sports Hall of Fame,Alaska,Wikidata property for authority control for people
California Sports Hall of Fame athlete ID,Tommie Smith,single value constraint,United States of America,California Sports Hall of Fame,California,Wikidata property for authority control for people
Panthéon des sports du Québec ID,Clara Hughes,single value constraint,Canada,Panthéon des sports du Québec,Quebec,Wikidata property related to a sports hall of fame
New Brunswick Sports Hall of Fame athlete ID,Roland Melanson,single value constraint,Canada,New Brunswick Sports Hall of Fame,New Brunswick,Wikidata property related to a sports hall of fame
Manitoba Sports Hall of Fame athlete ID,Chris Walby,single value constraint,Canada,Manitoba Sports Hall of Fame,Manitoba,Wikidata property related to a sports hall of fame
