col0,col1,col2,col3
Lycée Français Anna de Noailles,Anna de Noailles,Bucharest,Romania
lycée Geneviève-de-Gaulle-Anthonioz,Geneviève de Gaulle-Anthonioz,Milhaud,France
Henri Fertet lycée,Henri Fertet,Gray,France
Istituto Statale Italiano Leonardo Da Vinci,Leonardo da Vinci,7th arrondissement of Paris,France
Lycée Jean Pierre Vernant,Jean-Pierre Vernant,Sèvres,France
Lycée Claude-Bernard,Claude Bernard,16th arrondissement of Paris,France
lycée Paul Painlevé,Paul Painlevé,Oyonnax,France
Lycée polyvalent Frédéric et Irène Joliot-Curie,Irène Joliot-Curie,Nanterre,France
Lycée Paul Éluard,Paul Éluard,Saint-Denis,France
Lycée Margueritte,Jean Auguste Margueritte,Verdun,France
lycée Ozanam,Frédéric Ozanam,Châlons-en-Champagne,France
lycée Albert-Camus,Albert Camus,Nîmes,France
Lycée Jeanne-d'Arc,Joan of Arc,Nancy,France
