col0,col1,col2,col3
German destroyer Z27,127,4.43,Deutsche Schiff- und Maschinenbau
German destroyer Z34,127,4.62,AG Weser
German destroyer Z32,127,4.62,AG Weser
SMS V79,82,3.9,AG Vulcan Stettin
SMS V25,78.74,3.6,AG Vulcan Stettin
SMS V190,73.9,3.17,AG Vulcan Stettin
Italian destroyer Folgore,96.05,3.3,Cantieri del Mediterraneo
Italian destroyer Euro,93.6,3.9,Cantieri Navali del Tirreno Riuniti
HMS Puke,84.9,3.6,Cantiere Pattison
Spanish destroyer José Luis Díez,101,3.3,Sociedad Española de Construcción Naval
HNLMS Van Galen,108.6,4.22,William Denny and Brothers
HMS Onslow,105.15,4.11,John Brown & Company
HNoMS Stord,110.6,4.4,J. Samuel White
