col0,col1,col2,col3,col4,col5
Venusaur,green,list of Pokémon introduced in Generation I,grass-type Pokémon,200,Pokémon universe
Shroomish,brown,list of Pokémon introduced in Generation III,grass-type Pokémon,40,Pokémon universe
Oddish,blue,list of Pokémon introduced in Generation I,grass-type Pokémon,50,Pokémon universe
Ivysaur,green,list of Pokémon introduced in Generation I,grass-type Pokémon,2,Pokémon universe
Shaymin,green,list of Pokémon introduced in Generation IV,grass-type Pokémon,20,Pokémon universe
Oddish,blue,list of Pokémon introduced in Generation I,fictional plant species,50,Pokémon universe
Wormadam,gray,list of Pokémon introduced in Generation IV,steel-type Pokémon,50,Pokémon universe
Rotom,red,list of Pokémon introduced in Generation IV,ghost-type Pokémon,30,Pokémon universe
Parasect,red,list of Pokémon introduced in Generation I,bug-type Pokémon,100,Pokémon universe
Wormadam,gray,list of Pokémon introduced in Generation IV,bug-type Pokémon,50,Pokémon universe
Paras,red,list of Pokémon introduced in Generation I,bug-type Pokémon,30,Pokémon universe
Abomasnow,white,list of Pokémon introduced in Generation IV,ice-type Pokémon,220,Pokémon universe
Snover,white,list of Pokémon introduced in Generation IV,ice-type Pokémon,100,Pokémon universe
Rotom,red,list of Pokémon introduced in Generation IV,ice-type Pokémon,30,Pokémon universe
