col0,col1,col2,col3,col4
1993 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1993-01-01,WikiProject Badminton/tournament focus list
1994 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1994-01-01,WikiProject Badminton/tournament focus list
2019 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2019-01-01,WikiProject Badminton/tournament focus list
2015 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2015-01-01,WikiProject Badminton/tournament focus list
2014 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2014-01-01,WikiProject Badminton/tournament focus list
2013 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2013-01-01,WikiProject Badminton/tournament focus list
2000 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2000-01-01,WikiProject Badminton/tournament focus list
1999 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1999-01-01,WikiProject Badminton/tournament focus list
1998 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1998-01-01,WikiProject Badminton/tournament focus list
1995 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1995-01-01,WikiProject Badminton/tournament focus list
2012 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,2012-01-01,WikiProject Badminton/tournament focus list
1997 Copenhagen Badminton Masters,Copenhagen,Copenhagen Badminton Masters,1997-01-01,WikiProject Badminton/tournament focus list
