col0,col1,col2,col3
1976 Tour de Wallonie,road bicycle racing,Dirk Heirweg,1976-08-14
1986 Tour de Wallonie,road bicycle racing,Bruno Bruyere,1986-08-08
2018 Tour de Wallonie,road bicycle racing,Tim Wellens,2018-07-28
1990 Tour de Wallonie,road bicycle racing,Pascal Chanteur,1990-08-07
2014 Tour de Wallonie,road bicycle racing,Silvan Dillier,2014-07-26
1975 Tour de Wallonie,road bicycle racing,Pol Verschuere,1975-08-16
2016 Tour de Wallonie,road bicycle racing,Vyacheslav Kuznetsov,2016-07-23
1977 Tour de Wallonie,road bicycle racing,Alfons De Wolf,1977-08-12
1978 Tour de Wallonie,road bicycle racing,Jo Maas,1978-08-12
2014 Tour de Wallonie,road bicycle racing,Juan José Lobato,2014-07-26
1989 Tour de Wallonie,road bicycle racing,Johan Verstrepen,1989-08-08
1983 Tour de Wallonie,road bicycle racing,Tadeusz Krawczyk,1983-08-11
