col0,col1,col2,col3
2012 French Road Cycling Cup,2012-01-29,2012-01-01,2012 Polynormande
2013 French Road Cycling Cup,2013-01-27,2013-01-01,2013 Boucles de l'Aulne
2014 French Road Cycling Cup,2014-02-02,2014-01-01,2014 Grand Prix de Cholet-Pays de Loire
2013 French Road Cycling Cup,2013-01-27,2013-01-01,2013 Tour du Finistère
2014 French Road Cycling Cup,2014-02-02,2014-01-01,2014 Grand Prix d’Ouverture La Marseillaise
2013 French Road Cycling Cup,2013-01-27,2013-01-01,2013 Grand Prix de Denain
2012 French Road Cycling Cup,2012-01-29,2012-01-01,2012 Grand Prix d’Ouverture La Marseillaise
2013 French Road Cycling Cup,2013-01-27,2013-01-01,2013 Classic Loire-Atlantique
2011 French Road Cycling Cup,2011-01-30,2011-01-01,2011 Tour du Finistère
2010 French Road Cycling Cup,2010-01-31,2010-01-01,2010 Tour du Finistère
