col0,col1,col2,col3,col4,col5,col6,col7
2005–2006 Grand Prix of Figure Skating Final - ice dancing original dance,2005-12-16,ISU Judging System,International Skating Union,Japan,Oksana Domnina,2005–2006 Grand Prix of Figure Skating Final - ice dancing,Tatiana Navka
2007–2008 Grand Prix of Figure Skating Final - ice dancing original dance,2007-12-14,ISU Judging System,International Skating Union,Italy,Tessa Virtue,2007–2008 Grand Prix of Figure Skating Final - ice dancing,Tanith Belbin
2009 World Figure Skating Championships - ice dancing original dance,2009-03-26,ISU Judging System,International Skating Union,United States of America,Joanna Budner,2009 World Figure Skating Championships - ice dancing,Tanith Belbin
figure skating at the 2009 Winter Universiade - ice dancing original dance,2009-09-22,ISU Judging System,International University Sports Federation,People's Republic of China,Carolina Hermann,figure skating at the 2009 Winter Universiade – ice dance,Roman Zaretsky
figure skating at the 2007 Winter Universiade - ice dancing original dance,2007-01-18,ISU Judging System,International University Sports Federation,Italy,Anastasia Platonova,figure skating at the 2007 Winter Universiade - ice dance,Luca Lanotte
2003–2004 Grand Prix of Figure Skating Final - ice dancing original dance,2003-12-12,ISU Judging System,International Skating Union,United States of America,Tanith Belbin,2003–2004 Grand Prix of Figure Skating Final - ice dancing,Roman Kostomarov
2004–2005 Grand Prix of Figure Skating Final - ice dancing original dance,2004-12-17,ISU Judging System,International Skating Union,People's Republic of China,Tanith Belbin,2004–2005 Grand Prix of Figure Skating Final - ice dancing,Roman Kostomarov
2005–2006 Grand Prix of Figure Skating Final - ice dancing original dance,2005-12-16,ISU Judging System,International Skating Union,Japan,Marie-France Dubreuil,2005–2006 Grand Prix of Figure Skating Final - ice dancing,Roman Kostomarov
figure skating at the 2007 Winter Universiade - ice dancing original dance,2007-01-18,ISU Judging System,International University Sports Federation,Italy,Anastasia Platonova,figure skating at the 2007 Winter Universiade - ice dance,Anna Cappellini
2004–2005 Grand Prix of Figure Skating Final - ice dancing original dance,2004-12-17,ISU Judging System,International Skating Union,People's Republic of China,Tanith Belbin,2004–2005 Grand Prix of Figure Skating Final - ice dancing,Tatiana Navka
2005–2006 Grand Prix of Figure Skating Final - ice dancing original dance,2005-12-16,ISU Judging System,International Skating Union,Japan,Marie-France Dubreuil,2005–2006 Grand Prix of Figure Skating Final - ice dancing,Tatiana Navka
figure skating at the 2009 Winter Universiade - ice dancing original dance,2009-09-22,ISU Judging System,International University Sports Federation,People's Republic of China,Carolina Hermann,figure skating at the 2009 Winter Universiade – ice dance,Alexandra Zaretsky
