col0,col1,col2,col3
Mount Grace State Forest,Massachusetts state park,1920-01-01,Massachusetts
Mohawk Trail State Forest,Massachusetts state park,1921-01-01,Massachusetts
Maudslay State Park,Massachusetts state park,1985-01-01,Massachusetts
Leominster State Forest,Massachusetts state park,1922-01-01,Massachusetts
Lawrence Heritage State Park,Massachusetts state park,1980-01-01,Massachusetts
Lake Wyola State Park,Massachusetts state park,1997-01-01,Massachusetts
Fall River Heritage State Park,Massachusetts state park,1985-01-01,Massachusetts
Ellisville Harbor State Park,Massachusetts state park,1991-01-01,Massachusetts
Dunn State Park,Massachusetts state park,1915-01-01,Massachusetts
Dighton Rock State Park,Massachusetts state park,1955-01-01,Massachusetts
Demarest Lloyd State Park,Massachusetts state park,1953-01-01,Massachusetts
Cape Cod Rail Trail,Massachusetts state park,1970-01-01,Massachusetts
Callahan State Park,Massachusetts state park,1970-01-01,Massachusetts
C. M. Gardner State Park,Massachusetts state park,1959-01-01,Massachusetts
