col0,col1,col2,col3
Iramba,Singida Region,Tanzania,ward of Tanzania
Nachingwea District,Lindi Region,Tanzania,district of Tanzania
Mafia,Pwani Region,Tanzania,district of Tanzania
Serengeti District,Mara Region,Tanzania,district of Tanzania
Rufiji District,Pwani Region,Tanzania,district of Tanzania
Same District,Kilimanjaro Region,Tanzania,district of Tanzania
Nyamagana District,Mwanza Region,Tanzania,district of Tanzania
Newala,Mtwara Region,Tanzania,district of Tanzania
Nanyumbu,Mtwara Region,Tanzania,district of Tanzania
Mwanga District,Kilimanjaro Region,Tanzania,district of Tanzania
Musoma Urban District,Mara Region,Tanzania,district of Tanzania
