col0,col1,col2,col3,col4,col5
2013 PTT Pattaya Open,2012 PTT Pattaya Open,2013-02-03,Women's Tennis Association,tennis tournament edition,2013 PTT Pattaya Open – Singles
1996 Volvo Women's Open,1995 Volvo Women's Open,1996-11-24,Women's Tennis Association,tennis tournament edition,1996 Volvo Women's Open – Doubles
1998 Volvo Women's Open,1997 Volvo Women's Open,1998-11-22,Women's Tennis Association,tennis tournament edition,1998 Volvo Women's Open – Singles
2008 Pattaya Women's Open,2007 Pattaya Women's Open,2008-02-10,Women's Tennis Association,tennis tournament edition,2008 Pattaya Women's Open – Doubles
2010 PTT Pattaya Open,2009 PTT Pattaya Women's Open,2010-02-14,Women's Tennis Association,tennis tournament edition,2010 PTT Pattaya Open – Singles
2007 Pattaya Women's Open,2006 Pattaya Women's Open,2007-02-11,Women's Tennis Association,tennis tournament edition,2007 Pattaya Women's Open – Singles
2012 PTT Pattaya Open,2011 PTT Pattaya Open,2012-02-12,Women's Tennis Association,tennis tournament edition,2012 PTT Pattaya Open – Doubles
2013 PTT Pattaya Open,2012 PTT Pattaya Open,2013-02-03,Women's Tennis Association,PTT Pattaya Open,2013 PTT Pattaya Open – Singles
1996 Volvo Women's Open,1995 Volvo Women's Open,1996-11-24,Women's Tennis Association,PTT Pattaya Open,1996 Volvo Women's Open – Doubles
1998 Volvo Women's Open,1997 Volvo Women's Open,1998-11-22,Women's Tennis Association,PTT Pattaya Open,1998 Volvo Women's Open – Singles
2008 Pattaya Women's Open,2007 Pattaya Women's Open,2008-02-10,Women's Tennis Association,PTT Pattaya Open,2008 Pattaya Women's Open – Doubles
2010 PTT Pattaya Open,2009 PTT Pattaya Women's Open,2010-02-14,Women's Tennis Association,PTT Pattaya Open,2010 PTT Pattaya Open – Singles
2007 Pattaya Women's Open,2006 Pattaya Women's Open,2007-02-11,Women's Tennis Association,PTT Pattaya Open,2007 Pattaya Women's Open – Singles
