col0,col1,col2,col3
Bust of Dominique Chabrey at Jardin Botanique,Dominique Chabrey,Switzerland,stone
Niggeler memorial,Johannes Niggeler,Switzerland,stone
Stämpfli memorial,Jakob Stämpfli,Switzerland,stone
Bust of Charles Bonnet at Jardin Botanique,Charles Bonnet,Switzerland,stone
Bust of Abraham Trembley at Jardin Botanique,Abraham Trembley,Switzerland,stone
Bust of Jean Senebyer at Jardin Botanique,Jean Senebier,Switzerland,stone
Bust of Horace Bénédict de Saussure at Jardin Botanique,Horace Bénédict de Saussure,Switzerland,stone
Bust of Jean-Jacques Rousseau at Jardin Botanique,Jean-Jacques Rousseau,Switzerland,stone
Head of a goddess or priest-MAHG 012704,priest,Switzerland,wood
Karel Doorman,Karel Doorman,Netherlands,bronze
Bust of Louis Charles Dauphin of France-Louis Pierre Deseine-1985.403,Louis XVII of France,France,plaster
Bust of Louis Charles Dauphin of France-Louis Pierre Deseine-MV 8523,Louis XVII of France,France,terracotta
Bust of Lamotte-Piquet,Toussaint-Guillaume Picquet de la Motte,France,marble
