col0,col1,col2,col3,col4,col5
Shaghap,"Cultural heritage monuments in Shaghap, Ararat",village in Armenia,Armenian,437,Armenian oblast
Gnishik,"Cultural heritage monuments in Gnishik, Vayots Dzor",village in Armenia,Armenian,31,Vayots Dzor Region
Yernjatap,"Cultural heritage monuments in Yernjatap, Aragatsotn",village in Armenia,Armenian,286,Aragatsotn Region
Verin Dvin,"Cultural heritage monuments in Verin Dvin, Ararat",village in Armenia,Armenian,278,Armenian oblast
Vosketap,"Cultural heritage monuments in Vosketap, Ararat",village in Armenia,Armenian,150,Armenian oblast
Baghramyan,"Cultural heritage monuments in Baghramyan, Ararat",village in Armenia,Armenian,175,Armenian oblast
Shaghap,"Cultural heritage monuments in Shaghap, Ararat",village in Armenia,Armenian,253,Armenian oblast
Azatavan,"Cultural heritage monuments in Azatavan, Ararat",village in Armenia,Armenian,2895,Armenian oblast
Kuchak,"Cultural heritage monuments in Kuchak, Aragatsotn",village in Armenia,Armenian,531,Aragatsotn Region
Dzoraglukh,"Cultural heritage monuments in Dzoraglukh, Aragatsotn",village in Armenia,Armenian,325,Aragatsotn Region
Dashtavan,"Cultural heritage monuments in Dashtavan, Ararat",village in Armenia,Armenian,687,Armenian oblast
Byuravan,"Cultural heritage monuments in Byuravan, Ararat",village in Armenia,Armenian,192,Armenian oblast
