col0,col1,col2,col3,col4
Madison Square Garden,Altice USA,New York City,indoor arena,The Madison Square Garden Company
Canadian Tire Centre,Live Nation Entertainment,Kanata,multi-purpose hall,Ottawa Senators
Mercedes-Benz Superdome,SMG,New Orleans,multi-purpose hall,Louisiana
PPG Paints Arena,Anschutz Entertainment Group,Pittsburgh,multi-purpose hall,Sports & Exhibition Authority of Pittsburgh and Allegheny County
Madison Square Garden,Altice USA,New York City,multi-purpose hall,The Madison Square Garden Company
Ericsson Globe,Anschutz Entertainment Group,Johanneshov,multi-purpose hall,SGA Fastigheter
PPG Paints Arena,Anschutz Entertainment Group,Pittsburgh,ice rink,Sports & Exhibition Authority of Pittsburgh and Allegheny County
Canadian Tire Centre,Live Nation Entertainment,Kanata,arena,Ottawa Senators
Mercedes-Benz Superdome,SMG,New Orleans,stadium,Louisiana
Cow Palace,California Department of Food and Agriculture,Daly City,event venue,California Department of Food and Agriculture
Sparbanken Skåne Arena,Lund Municipality,Lund,multi-purpose hall,Lund Municipality
Cow Palace,California Department of Food and Agriculture,Daly City,multi-purpose hall,California Department of Food and Agriculture
