col0,col1,col2,col3,col4,col5,col6,col7
1950 Indianapolis 500,1950 Formula One season,auto racing,1950-05-30,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Johnnie Parsons
2011 Indianapolis 500,2011 IndyCar Series season,auto racing,2011-05-29,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Dan Wheldon
2005 Indianapolis 500,2005 IndyCar Series season,auto racing,2005-05-29,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Dan Wheldon
1982 Indianapolis 500,1982 IndyCar season,auto racing,1982-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Gordon Johncock
1990 Indianapolis 500,1990 IndyCar season,auto racing,1990-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Arie Luyendyk
1997 Indianapolis 500,1996–1997 Indy Racing League season,auto racing,1997-05-26,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Arie Luyendyk
1998 Indianapolis 500,1998 Indy Racing League season,auto racing,1998-05-24,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Eddie Cheever
1985 Indianapolis 500,1985 IndyCar season,auto racing,1985-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Danny Sullivan
1989 Indianapolis 500,1989 IndyCar season,auto racing,1989-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Emerson Fittipaldi
1993 Indianapolis 500,1993 IndyCar season,auto racing,1993-01-01,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Emerson Fittipaldi
1995 Indianapolis 500,1995 IndyCar season,auto racing,1995-05-28,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Jacques Villeneuve
2000 Indianapolis 500,2000 Indy Racing League season,auto racing,2000-05-28,Indianapolis Motor Speedway oval circuit,Indianapolis Motor Speedway,United States of America,Juan Pablo Montoya
