col0,col1,col2,col3
Intricate Vengeance,12,Telly Award,Mark Gantt
The Handmaid's Tale,52,Primetime Emmy Award for Outstanding Drama Series,Margaret Atwood
Travelers,45,Leo Awards,Eric McCormack
Deutschland 83,42,International Emmy Award for best drama series,Nico Hofmann
Last Week Tonight with John Oliver,30,"Primetime Emmy Award for Outstanding Writing for a Variety, Music or Comedy Program",John Oliver
Kumkum Bhagya,21,Producers Guild Film Awards,Ekta Kapoor
Wheel of Fortune,30,Daytime Emmy Award for Outstanding Game/Audience Participation Show,Nancy Jones
"Upstairs, Downstairs",50,Peabody Award,John Hawkesworth
Episodes,30,Golden Nymph for Best European Comedy TV Series,David Crane
House of Cards,55,Peabody Award,Ken Riddington
Deadwood,50,Primetime Emmy Award for Outstanding Directing for a Drama Series,Mark Tinker
St. Elsewhere,45,Primetime Emmy Award for Outstanding Directing for a Drama Series,Bruce Paltrow
L.A. Law,46,Genesis Award,Elodie Keene
Judging Amy,44,Genesis Award,Amy Brenneman
Millennium,44,Genesis Award,Chris Carter
