col0,col1,col2,col3,col4
Koi,Japanese,romance novel,Mariko Koike,1995-10-01
"Last Night's Curry, Tomorrow's Bread",Japanese,xiaoshuo,Izumi Kizara,2013-04-22
Asunaro Sansan'nanabyōshi,Japanese,xiaoshuo,Kiyoshi Shigematsu,2010-03-13
Wood Job!,Japanese,drama film,Shion Miura,2009-05-16
Akka,Japanese,suspense,Masahiko Shimada,2010-06-22
Olympic Ransom,Japanese,suspense,Hideo Okuda,2008-11-27
Snooze Teacher,Japanese,autobiographical novel,Shizuka Ijūin,2011-04-05
Kasute ~ira boku to oyajinoichiban'nagaihi,Japanese,autobiographical novel,Masashi Sada,2012-04-05
Kuchibiru ni uta o,Japanese,Romance novels,Otsuichi,2011-11-24
The Eighth Day,Japanese,suspense,Mitsuyo Kakuta,2007-03-25
Kataegiki,Japanese,detective fiction,Nagaoka Hiroki,2008-10-08
