col0,col1,col2,col3,col4,col5
Lanao del Sur,Lanao del Norte,Marawi,1045429,Governor of Lanao del Sur,Philippines
Davao Occidental,Davao del Sur,Malita,316342,Governor of Davao Occidental,Philippines
Nueva Vizcaya,Aurora,Bayombong,452287,Governor of Nueva Vizcaya,Philippines
Quezon,Batangas,Lucena,1856582,Governor of Quezon,Philippines
Zambales,Bataan,Iba,590848,Governor of Zambales,Philippines
Negros Occidental,Cebu,Bacolod,2497261,Governor of Negros Occidental,Philippines
Sorsogon,Albay,Sorsogon City,792949,Governor of Sorsogon,Philippines
Zamboanga del Norte,Zamboanga City,Dipolog,1011393,Governor of Zamboanga del Norte,Philippines
Rizal,Metro Manila,Antipolo,2884227,Governor of Rizal,Philippines
Pampanga,Bataan,San Fernando,2198110,Governor of Pampanga,Philippines
Zamboanga Sibugay,Zamboanga City,Ipil,633129,Governor of Zamboanga Sibugay,Philippines
Pangasinan,Benguet,Lingayen,2956726,Governor of Pangasinan,Philippines
Tawi-Tawi,Sulu,Bongao,390715,Governor of Tawi-Tawi,Philippines
Tarlac,Pampanga,Tarlac City,1366027,Governor of Tarlac,Philippines
