col0,col1,col2,col3,col4
Butte Sink Wildlife Management Area,Colusa,United States of America,wildlife management area,Butte County
Briery Creek Wildlife Management Area,Farmville,United States of America,wildlife management area,Virginia
Boundary Creek Wildlife Management Area,Bonners Ferry,United States of America,wildlife management area,Idaho
Blackfoot River Wildlife Management Area,Soda Springs,United States of America,wildlife management area,Idaho
Black Pond Wildlife Management Area,Watertown,United States of America,wildlife management area,New York
Billingsley Creek Wildlife Management Area,Hagerman,United States of America,wildlife management area,Gooding County
Big Survey Wildlife Management Area,Wytheville,United States of America,wildlife management area,Virginia
Big Cottonwood Wildlife Management Area,Oakley,United States of America,wildlife management area,Idaho
G. Richard Thompson Wildlife Management Area,Front Royal,United States of America,protected area,Fauquier County
Fort Boise Wildlife Management Area,Parma,United States of America,protected area,Idaho
Farragut Wildlife Management Area,Bayview,United States of America,protected area,Idaho
Deer Parks Wildlife Management Area,Roberts,United States of America,protected area,Idaho
