col0,col1,col2,col3
"Étude Op. 10, No. 3","Études, Op. 10",instrumental music,E major
Étude No.3 from Trois nouvelles études,Trois nouvelles études,étude,D-flat major
Transcendental Étude No. 12,Transcendental Études,étude,B-flat minor
Étude No.2 from Trois nouvelles études,Trois nouvelles études,étude,A-flat major
Étude No.1 from Trois nouvelles études,Trois nouvelles études,étude,F minor
Transcendental Étude No. 4,Transcendental Études,étude,D minor
"Étude in C-sharp minor, Op. 2, No. 1",Études,étude,C-sharp minor
"Étude in D-sharp minor, Op. 8, No. 12","12 Études, Op. 8",étude,D-sharp minor
Transcendental Étude No. 1,Transcendental Études,étude,C major
Transcendental Étude No. 2,Transcendental Études,étude,A minor
Transcendental Étude No. 3,Transcendental Études,étude,F major
Transcendental Étude No. 7,Transcendental Études,étude,E-flat major
Transcendental Étude No. 10,Transcendental Études,étude,F minor
Transcendental Étude No. 6,Transcendental Études,étude,G minor
