col0,col1,col2,col3,col4,col5,col6,col7
HMS Invincible,Armstrong Whitworth,8.1,Invincible class battlecruiser,172.8,World War I,Norway,shipwreck
USS Lexington,Fore River Shipyard,7.4,Lexington-class aircraft carrier,270.6,World War II,United States of America,shipwreck
HMS Queen Mary,Palmers Shipbuilding and Iron Company,8.8,Lion-class battlecruiser,214.4,World War I,Norway,shipwreck
German battleship Scharnhorst,Kriegsmarinewerft Wilhelmshaven,9.9,Scharnhorst-class battleship,234.9,World War II,Nazi Germany,shipwreck
HMS Lion,HMNB Devonport,8.8,Lion-class battlecruiser,213.4,World War I,United Kingdom,battlecruiser
HMS Invincible,Armstrong Whitworth,8.1,Invincible class battlecruiser,172.8,World War I,Norway,battlecruiser
USS Saratoga,New York Shipbuilding Corporation,7.4,Lexington-class aircraft carrier,277.4,World War II,United States of America,battlecruiser
USS Lexington,Fore River Shipyard,7.4,Lexington-class aircraft carrier,270.6,World War II,United States of America,battlecruiser
SMS Derfflinger,Blohm + Voss,9.56,Derfflinger-class battlecruiser,210.4,World War I,German Reich,battlecruiser
SMS Hindenburg,Kaiserliche Werft Wilhelmshaven,9.57,Derfflinger-class battlecruiser,210.4,World War I,German Reich,battlecruiser
SMS Goeben,Blohm + Voss,9.19,Moltke class battlecruiser,186.6,World War I,German Reich,battlecruiser
French battleship Dunkerque,Brest Arsenal,9.71,Dunkerque class battleship,215.14,World War II,France,battlecruiser
SMS Moltke,Blohm + Voss,8.2,Moltke class battlecruiser,186,World War I,German Reich,battlecruiser
HMS Queen Mary,Palmers Shipbuilding and Iron Company,8.8,Lion-class battlecruiser,214.4,World War I,Norway,battlecruiser
