col0,col1,col2,col3,col4
Equanimity,Cayman Islands,Jho Low,92,2014-01-01
Here Comes The Sun,Cayman Islands,Alexander Dzhaparidze,83,2017-01-01
Venus,Cayman Islands,Laurene Powell Jobs,79.25,2012-01-01
Al Lusail,Qatar,Tamim bin Hamad Al Thani,124,2017-01-01
Christina O,Malta,John Paul Papanicolaou,99.06,1943-01-01
Sherpa,Cayman Islands,Jim Ratcliffe,71.2,2018-01-01
Aquijo,Cayman Islands,Kjell Inge Røkke,86,2016-01-01
Athena,Cayman Islands,James H. Clark,90,2004-01-01
Bravo Eugenia,Cayman Islands,Jerry Jones,109,2018-01-01
Equanimity,Cayman Islands,Genting Group,92,2014-01-01
Azzam,United Arab Emirates,Khalifa bin Zayed Al Nahyan,180,2013-01-01
Aquarius,Cayman Islands,Steve Wynn,92,2016-01-01
