col0,col1,col2,col3,col4
Ticino,canton of Valais,canton of Switzerland,353343,2
Thurgau,Baden-Württemberg,canton of Switzerland,276472,2
Canton of Schaffhausen,Baden-Württemberg,canton of Switzerland,81991,2
Canton of Fribourg,canton of Bern,canton of Switzerland,318714,2
Nidwalden,canton of Bern,canton of Switzerland,43223,1
Obwalden,canton of Bern,canton of Switzerland,37841,1
Canton of Schwyz,Glarus,canton of Switzerland,159165,2
Uri,canton of Valais,canton of Switzerland,36433,1
Basel-Stadt,Baden-Württemberg,canton of Switzerland,194766,1
Basel-Landschaft,Baden-Württemberg,canton of Switzerland,288132,1
